"id";"module";"page";"action";"subaction";"component";"key_name";"display_name";"description";"category";"is_active";"created_at";"updated_at"
"1";"marketing";"customer";"navigation";;;"marketing.customer.navigation";"Marketing - Customer - Navigation";"Access customer menu";"navigation";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"2";"marketing";"customer";"index";;;"marketing.customer.index";"View Customer List";"View customer management page and list customers";"read";"1";"2025-12-12 10:18:20";"2025-12-12 10:18:20"
"3";"marketing";"customer";"create";;;"marketing.customer.create";"Marketing - Customer - Create";"Add new customer";"write";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"4";"marketing";"customer";"edit";;;"marketing.customer.edit";"Marketing - Customer - Edit";"Edit customer data";"write";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"5";"marketing";"customer";"delete";;;"marketing.customer.delete";"Marketing - Customer - Delete";"Delete customer";"delete";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"6";"marketing";"customer";"export";;;"marketing.customer.export";"Marketing - Customer - Export";"Export customer list";"export";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"7";"marketing";"customer_db";"navigation";;;"marketing.customer_db.navigation";"Customer Database Navigation";"Access to Customer Database menu";"navigation";"1";"2025-12-12 10:18:20";"2025-12-12 10:18:20"
"8";"marketing";"customer_db";"index";;;"marketing.customer_db.index";"View Customer Database";"View customer database page";"read";"1";"2025-12-12 10:18:20";"2025-12-12 10:18:20"
"9";"marketing";"customer_db";"search";;;"marketing.customer_db.search";"Search Customer Database";"Search functionality in customer database";"action";"1";"2025-12-12 10:18:20";"2025-12-12 10:18:20"
"10";"marketing";"customer_db";"export";;;"marketing.customer_db.export";"Export Customer Database";"Export customer database";"export";"1";"2025-12-12 10:18:20";"2025-12-12 10:18:20"
"11";"marketing";"quotation";"navigation";;;"marketing.quotation.navigation";"Marketing - Quotation - Navigation";"Access quotation menu";"navigation";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"12";"marketing";"quotation";"index";;;"marketing.quotation.index";"View Quotations";"View quotation list and system";"read";"1";"2025-12-12 10:18:20";"2025-12-12 10:18:20"
"13";"marketing";"quotation";"create";;;"marketing.quotation.create";"Marketing - Quotation - Create";"Create new quotation";"write";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"14";"marketing";"quotation";"edit";;;"marketing.quotation.edit";"Marketing - Quotation - Edit";"Edit quotation";"write";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"15";"marketing";"quotation";"delete";;;"marketing.quotation.delete";"Marketing - Quotation - Delete";"Delete quotation";"delete";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"16";"marketing";"quotation";"approve";;;"marketing.quotation.approve";"Marketing - Quotation - Approve";"Approve quotation";"action";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
"17";"marketing";"quotation";"print";;;"marketing.quotation.print";"Marketing - Quotation - Print";"Print quotation document";"action";"1";"2025-12-12 10:18:20";"2026-03-07 05:39:48"
